process,rep,lag,theoretical_acf,acf
white_noise,0,1,0.0,-0.04849744575354336
white_noise,0,2,0.0,-0.01538133540270336
white_noise,0,3,0.0,0.02767842623085089
white_noise,0,4,0.0,-0.1123086540598082
white_noise,0,5,0.0,-0.150853814796289
white_noise,0,6,0.0,0.04578456493414116
white_noise,0,7,0.0,-0.014742582061866088
white_noise,0,8,0.0,-0.050248537202127214
white_noise,0,9,0.0,-0.009631267531850516
white_noise,0,10,0.0,-0.010027199377393641
white_noise,0,11,0.0,0.06188532403411491
white_noise,0,12,0.0,0.016370942766389767
white_noise,0,13,0.0,0.0017026242287062775
white_noise,0,14,0.0,-0.0313353566581864
white_noise,0,15,0.0,0.0032792761098679015
white_noise,0,16,0.0,-0.06790966956554488
white_noise,0,17,0.0,0.007713718501282733
white_noise,0,18,0.0,0.005335288667385383
white_noise,0,19,0.0,-0.07117225578508236
white_noise,0,20,0.0,0.028015258022331423
white_noise,1,1,0.0,0.05945515570460134
white_noise,1,2,0.0,-0.042484402721624286
white_noise,1,3,0.0,-0.06054425831451959
white_noise,1,4,0.0,-0.06779464156554194
white_noise,1,5,0.0,-0.023425551193038685
white_noise,1,6,0.0,0.13120412870009066
white_noise,1,7,0.0,0.0359853924472754
white_noise,1,8,0.0,-0.028277289272062224
white_noise,1,9,0.0,0.006612583638627928
white_noise,1,10,0.0,0.12520321406583312
white_noise,1,11,0.0,-0.004130730831381752
white_noise,1,12,0.0,-0.010891396878520322
white_noise,1,13,0.0,0.02124378733626573
white_noise,1,14,0.0,-0.10362708962352771
white_noise,1,15,0.0,-0.07191568428336183
white_noise,1,16,0.0,0.01294231437377429
white_noise,1,17,0.0,0.01415895360391038
white_noise,1,18,0.0,-0.031152021279984256
white_noise,1,19,0.0,-0.013399101202036844
white_noise,1,20,0.0,0.03097472819318772
white_noise,2,1,0.0,0.006112732833211773
white_noise,2,2,0.0,-0.03975192539427882
white_noise,2,3,0.0,-0.0030854659223279964
white_noise,2,4,0.0,0.05077269417611622
white_noise,2,5,0.0,-0.08389438947161074
white_noise,2,6,0.0,-0.0682987253521003
white_noise,2,7,0.0,-0.014139024189329118
white_noise,2,8,0.0,0.1070351278453011
white_noise,2,9,0.0,-0.007244281062106029
white_noise,2,10,0.0,-0.005279791117560068
white_noise,2,11,0.0,0.006161547781477673
white_noise,2,12,0.0,0.013502755088656525
white_noise,2,13,0.0,-0.02210155030978604
white_noise,2,14,0.0,-0.03374370560650669
white_noise,2,15,0.0,-0.0314525239298134
white_noise,2,16,0.0,-0.004914486890945839
white_noise,2,17,0.0,-0.13466786411384613
white_noise,2,18,0.0,-0.030531673259492825
white_noise,2,19,0.0,0.013715607793684787
white_noise,2,20,0.0,0.02102165573298046
white_noise,3,1,0.0,-0.018352457059713865
white_noise,3,2,0.0,-0.030382214821031935
white_noise,3,3,0.0,-0.023741699329828912
white_noise,3,4,0.0,-0.01888376728925208
white_noise,3,5,0.0,0.01635925590824025
white_noise,3,6,0.0,0.004817852025073561
white_noise,3,7,0.0,-0.0396063237292488
white_noise,3,8,0.0,0.10862783729014307
white_noise,3,9,0.0,-0.006957065561497438
white_noise,3,10,0.0,0.007279264725821673
white_noise,3,11,0.0,-0.07186768364349012
white_noise,3,12,0.0,-0.10259467808210893
white_noise,3,13,0.0,-0.0730515432907461
white_noise,3,14,0.0,-0.0017901940011872527
white_noise,3,15,0.0,-0.04955168477650714
white_noise,3,16,0.0,0.07648521095700728
white_noise,3,17,0.0,-0.010307208927663921
white_noise,3,18,0.0,0.05962416716963509
white_noise,3,19,0.0,-0.028409015978089782
white_noise,3,20,0.0,-0.044233742093369145
white_noise,4,1,0.0,-0.02337724167444469
white_noise,4,2,0.0,-0.05270195017132831
white_noise,4,3,0.0,-0.1048000108561278
white_noise,4,4,0.0,-0.05025028038019473
white_noise,4,5,0.0,-0.0011291143440703584
white_noise,4,6,0.0,0.07966921561593221
white_noise,4,7,0.0,-0.028740208128917387
white_noise,4,8,0.0,-0.08967943660833759
white_noise,4,9,0.0,-0.021743614322149638
white_noise,4,10,0.0,0.008205119325475203
white_noise,4,11,0.0,0.029215100789572693
white_noise,4,12,0.0,0.0047148235225043895
white_noise,4,13,0.0,-0.09310179463743556
white_noise,4,14,0.0,-0.055549661459767086
white_noise,4,15,0.0,-0.05991394824280115
white_noise,4,16,0.0,0.01883866324714505
white_noise,4,17,0.0,0.049119400240305734
white_noise,4,18,0.0,-0.04000534955279035
white_noise,4,19,0.0,-0.0509959348531764
white_noise,4,20,0.0,-0.005393193084994059
white_noise,5,1,0.0,0.03979058127978575
white_noise,5,2,0.0,-0.02650331608963635
white_noise,5,3,0.0,-0.01747996590436414
white_noise,5,4,0.0,-0.16828009486914672
white_noise,5,5,0.0,-0.0008135455508849936
white_noise,5,6,0.0,-0.02121677578726685
white_noise,5,7,0.0,-0.049572330981842314
white_noise,5,8,0.0,0.021659437417796072
white_noise,5,9,0.0,0.0005925113270373672
white_noise,5,10,0.0,0.014482609918521922
white_noise,5,11,0.0,-0.002105929710637165
white_noise,5,12,0.0,0.08269437458601696
white_noise,5,13,0.0,-0.04925725536309735
white_noise,5,14,0.0,-0.01469005583962295
white_noise,5,15,0.0,0.04689220249179908
white_noise,5,16,0.0,-0.06328635301209887
white_noise,5,17,0.0,0.035948047537482125
white_noise,5,18,0.0,-0.04951595686779282
white_noise,5,19,0.0,0.0758531549672207
white_noise,5,20,0.0,0.04140695226102856
white_noise,6,1,0.0,0.026088993712622667
white_noise,6,2,0.0,-0.004250357944475898
white_noise,6,3,0.0,0.03393642548365089
white_noise,6,4,0.0,0.07018504431315334
