process,lag,reps,theoretical_acf,empirical_mean,bias,rmse
white_noise,1,200,0.0,-0.004365955976792066,-0.004365955976792066,0.05955729522628392
white_noise,2,200,0.0,-0.010471042073203495,-0.010471042073203495,0.0531851967653078
white_noise,3,200,0.0,-0.0010970308777893572,-0.0010970308777893572,0.05726704189457351
white_noise,4,200,0.0,-0.007250423480539411,-0.007250423480539411,0.05756382384413808
white_noise,5,200,0.0,-0.0015110388464626495,-0.0015110388464626495,0.05865150351428531
white_noise,6,200,0.0,-0.003390433191405771,-0.003390433191405771,0.06087654039413326
white_noise,7,200,0.0,0.0007477621171030614,0.0007477621171030614,0.05540024488018839
white_noise,8,200,0.0,-0.000882586676265167,-0.000882586676265167,0.05838139881242651
white_noise,9,200,0.0,-0.003985529581748631,-0.003985529581748631,0.05659104551276565
white_noise,10,200,0.0,-0.0017735165545012688,-0.0017735165545012688,0.05515258147927063
white_noise,11,200,0.0,-0.009721995242844488,-0.009721995242844488,0.057080340199388346
white_noise,12,200,0.0,-0.002796513938968025,-0.002796513938968025,0.05341991868884177
white_noise,13,200,0.0,-0.0030863726857431758,-0.0030863726857431758,0.057265475219255034
white_noise,14,200,0.0,-0.002915316085117511,-0.002915316085117511,0.053920518181911826
white_noise,15,200,0.0,-0.0002266640205499421,-0.0002266640205499421,0.05551074517014778
white_noise,16,200,0.0,-0.0021240427362502114,-0.0021240427362502114,0.05607325353641933
white_noise,17,200,0.0,-0.0034836748224601082,-0.0034836748224601082,0.054616606889162644
white_noise,18,200,0.0,-0.0008585949223203253,-0.0008585949223203253,0.05397637576457774
white_noise,19,200,0.0,-0.006616272228201825,-0.006616272228201825,0.057029511929109794
white_noise,20,200,0.0,-0.008052407114063574,-0.008052407114063574,0.05451945281052773
ar1_phi_0.5,1,200,0.5,0.49245358859270005,-0.007546411407299947,0.04869054288656877
ar1_phi_0.5,2,200,0.25,0.23865910045456806,-0.011340899545431937,0.06399475204535544
ar1_phi_0.5,3,200,0.125,0.11792522962936296,-0.007074770370637043,0.07012199220327796
ar1_phi_0.5,4,200,0.0625,0.054082854805143216,-0.008417145194856784,0.07154081578358293
ar1_phi_0.5,5,200,0.03125,0.01906055851836568,-0.012189441481634321,0.0708666125908191
ar1_phi_0.5,6,200,0.015625,0.0062599359217472995,-0.0093650640782527,0.0647487012184439
ar1_phi_0.5,7,200,0.0078125,0.0020083971160161445,-0.005804102883983855,0.07042550526470301
ar1_phi_0.5,8,200,0.00390625,-0.0013424978489278226,-0.005248747848927823,0.07332889303584375
ar1_phi_0.5,9,200,0.001953125,-0.0022928192471681798,-0.00424594424716818,0.07572940335829446
ar1_phi_0.5,10,200,0.0009765625,-0.003185099390114249,-0.0041616618901142485,0.07447048330398098
ar1_phi_0.5,11,200,0.00048828125,-0.006808035492148319,-0.007296316742148319,0.07300065478600673
ar1_phi_0.5,12,200,0.000244140625,-0.011945164006990845,-0.012189304631990845,0.06625127660736388
ar1_phi_0.5,13,200,0.0001220703125,-0.014097040172223801,-0.014219110484723801,0.06815748924642832
ar1_phi_0.5,14,200,6.103515625e-05,-0.009579290456720155,-0.009640325612970155,0.0723623203808167
ar1_phi_0.5,15,200,3.0517578125e-05,-0.008887637029875982,-0.008918154608000982,0.0694326965541229
ar1_phi_0.5,16,200,1.52587890625e-05,-0.004721667399798321,-0.004736926188860821,0.07244676307526447
ar1_phi_0.5,17,200,7.62939453125e-06,-0.0012359942863837355,-0.0012436236809149855,0.06883786304661074
ar1_phi_0.5,18,200,3.814697265625e-06,-0.0011147703735946291,-0.0011185850708602541,0.06951622225010516
ar1_phi_0.5,19,200,1.9073486328125e-06,-0.0030493263821668192,-0.0030512337307996317,0.06540519016225602
ar1_phi_0.5,20,200,9.5367431640625e-07,-0.01122602550574614,-0.011226979180062546,0.06913935257902636
ar1_phi_0.9,1,200,0.9,0.88541026428072,-0.014589735719280017,0.030398259308677025
ar1_phi_0.9,2,200,0.81,0.7820659187793327,-0.027934081220667317,0.054906475699967434
ar1_phi_0.9,3,200,0.7290000000000001,0.6909044258955669,-0.038095574104433205,0.07467326578581901
ar1_phi_0.9,4,200,0.6561,0.6105718762526856,-0.04552812374731441,0.09047943785835452
ar1_phi_0.9,5,200,0.5904900000000001,0.5373027633344241,-0.05318723666557601,0.10571464116901887
ar1_phi_0.9,6,200,0.531441,0.47337062728181034,-0.05807037271818971,0.11808771121615468
ar1_phi_0.9,7,200,0.4782969000000001,0.4167392166993667,-0.06155768330063338,0.12887446499256267
ar1_phi_0.9,8,200,0.4304672100000001,0.3654103612036117,-0.0650568487963884,0.13720073787570344
ar1_phi_0.9,9,200,0.3874204890000001,0.3197020824336885,-0.06771840656631162,0.14444226885843664
ar1_phi_0.9,10,200,0.3486784401000001,0.278849228940061,-0.06982921115993912,0.14964963631269124
ar1_phi_0.9,11,200,0.31381059609000006,0.2430689756683992,-0.07074162042160087,0.15310521134767197
ar1_phi_0.9,12,200,0.2824295364810001,0.21188954841052454,-0.07053998807047557,0.1547072756181448
ar1_phi_0.9,13,200,0.2541865828329001,0.18361246358182565,-0.07057411925107443,0.15586445573945865
ar1_phi_0.9,14,200,0.2287679245496101,0.158311186803033,-0.0704567377465771,0.15753942775395435
ar1_phi_0.9,15,200,0.20589113209464907,0.13772302996777394,-0.06816810212687513,0.15733516641537695
ar1_phi_0.9,16,200,0.18530201888518416,0.12023608375559043,-0.06506593512959373,0.15641476089319029
ar1_phi_0.9,17,200,0.16677181699666577,0.10421158491474838,-0.06256023208191738,0.1551115108312134
