process,n,rep,lags,model_df,degrees_of_freedom,statistic,p_value,alpha,rejected
white_noise,100,0,20,0,20,13.717509980666717,0.8445251155223159,0.05,0
white_noise,100,1,20,0,20,23.276075079875813,0.27544286580103844,0.05,0
white_noise,100,2,20,0,20,19.79788160127047,0.4706353761611679,0.05,0
white_noise,100,3,20,0,20,14.41427115647571,0.8088858253751892,0.05,0
white_noise,100,4,20,0,20,13.51216486954677,0.8543446720813075,0.05,0
white_noise,100,5,20,0,20,8.878838856964725,0.9842685620724884,0.05,0
white_noise,100,6,20,0,20,20.43721038179723,0.4308958504155723,0.05,0
white_noise,100,7,20,0,20,10.552102664236527,0.9570216651658152,0.05,0
white_noise,100,8,20,0,20,14.023735005706166,0.8292904796957883,0.05,0
white_noise,100,9,20,0,20,16.564594746690283,0.6810382489716216,0.05,0
white_noise,100,10,20,0,20,16.049959470556907,0.7135200516010638,0.05,0
white_noise,100,11,20,0,20,31.729258170950207,0.04627002922833172,0.05,1
white_noise,100,12,20,0,20,20.320090580700416,0.43807336134843844,0.05,0
white_noise,100,13,20,0,20,12.22111796816728,0.9082549828122537,0.05,0
white_noise,100,14,20,0,20,9.924460748361543,0.969521078017935,0.05,0
white_noise,100,15,20,0,20,28.753963633015868,0.0927181163014412,0.05,0
white_noise,100,16,20,0,20,17.593154635364186,0.6141895705141249,0.05,0
white_noise,100,17,20,0,20,16.525040596015973,0.6835641978559868,0.05,0
white_noise,100,18,20,0,20,17.15217780219102,0.6430711372482658,0.05,0
white_noise,100,19,20,0,20,20.052365236569663,0.4546583243273681,0.05,0
white_noise,100,20,20,0,20,18.51375547530803,0.5536038868234472,0.05,0
white_noise,100,21,20,0,20,26.144488020843617,0.16109273771732102,0.05,0
white_noise,100,22,20,0,20,18.694260828658567,0.5417717939349689,0.05,0
white_noise,100,23,20,0,20,23.18401384510938,0.2798496674051878,0.05,0
white_noise,100,24,20,0,20,20.411724641447886,0.4324535150861418,0.05,0
white_noise,100,25,20,0,20,29.90878568767941,0.07134520244583906,0.05,0
white_noise,100,26,20,0,20,34.23642350512747,0.024569161538691937,0.05,1
white_noise,100,27,20,0,20,12.46088593339618,0.8993000847943946,0.05,0
white_noise,100,28,20,0,20,15.439791787248287,0.7507140644894464,0.05,0
white_noise,100,29,20,0,20,19.149801468357627,0.5121088058913171,0.05,0
white_noise,100,30,20,0,20,16.34191066844409,0.6951989844656425,0.05,0
white_noise,100,31,20,0,20,15.060680831964898,0.7729249702226572,0.05,0
white_noise,100,32,20,0,20,28.833166150247333,0.091096700072073,0.05,0
white_noise,100,33,20,0,20,19.24332610411995,0.5060638946444757,0.05,0
white_noise,100,34,20,0,20,14.148296401617364,0.8228980313231171,0.05,0
white_noise,100,35,20,0,20,28.002423571839344,0.10934201105300409,0.05,0
white_noise,100,36,20,0,20,22.904164974732662,0.2935247214840513,0.05,0
white_noise,100,37,20,0,20,14.101632074811562,0.825305774600372,0.05,0
white_noise,100,38,20,0,20,33.67227636301426,0.028428986581517275,0.05,1
white_noise,100,39,20,0,20,16.195531990457752,0.704422055949891,0.05,0
white_noise,100,40,20,0,20,19.42658662166803,0.4942729567775461,0.05,0
white_noise,100,41,20,0,20,29.220928110080663,0.08349949538771351,0.05,0
white_noise,100,42,20,0,20,21.175990966755656,0.3868397240434258,0.05,0
white_noise,100,43,20,0,20,22.716871854294244,0.3029096328573289,0.05,0
white_noise,100,44,20,0,20,23.194858284848397,0.2793281921005471,0.05,0
white_noise,100,45,20,0,20,14.13254799623929,0.823712325259489,0.05,0
white_noise,100,46,20,0,20,17.260552221002996,0.6359958359276372,0.05,0
white_noise,100,47,20,0,20,16.956281551462606,0.6558106326753671,0.05,0
white_noise,100,48,20,0,20,15.103580392901474,0.770450341330945,0.05,0
white_noise,100,49,20,0,20,20.78917799088222,0.4096335310189242,0.05,0
white_noise,100,50,20,0,20,24.56591224191427,0.21854527547628538,0.05,0
white_noise,100,51,20,0,20,12.710374616267478,0.8894618810194285,0.05,0
white_noise,100,52,20,0,20,15.388606719770419,0.7537564672524502,0.05,0
white_noise,100,53,20,0,20,21.073735070247412,0.3928040584285767,0.05,0
white_noise,100,54,20,0,20,32.986465348871825,0.03385630828674641,0.05,1
white_noise,100,55,20,0,20,14.59024806852807,0.7993540831499486,0.05,0
white_noise,100,56,20,0,20,14.628004246892637,0.7972829357092472,0.05,0
white_noise,100,57,20,0,20,42.21287574300238,0.00259419878366995,0.05,1
white_noise,100,58,20,0,20,14.98093247159947,0.7774976195416472,0.05,0
white_noise,100,59,20,0,20,19.55409340333845,0.4861153092739362,0.05,0
white_noise,100,60,20,0,20,17.122018129082395,0.6450368729261895,0.05,0
white_noise,100,61,20,0,20,22.643292573586006,0.3066470899934906,0.05,0
white_noise,100,62,20,0,20,29.94691640468615,0.07071838325646575,0.05,0
white_noise,100,63,20,0,20,21.69674878960928,0.3571899888840392,0.05,0
white_noise,100,64,20,0,20,20.486569519358852,0.4278858085297853,0.05,0
white_noise,100,65,20,0,20,39.31791010372562,0.006085839541135365,0.05,1
white_noise,100,66,20,0,20,16.75217340239506,0.6690024614982164,0.05,0
white_noise,100,67,20,0,20,14.503997219006507,0.8040511086666076,0.05,0
white_noise,100,68,20,0,20,24.164231474127472,0.2352918015712006,0.05,0
white_noise,100,69,20,0,20,25.89103205612574,0.16944099826498954,0.05,0
white_noise,100,70,20,0,20,14.1751926547941,0.8215032841271732,0.05,0
white_noise,100,71,20,0,20,16.072262484212988,0.712131204007235,0.05,0
white_noise,100,72,20,0,20,20.64783770598404,0.41811471337966555,0.05,0
white_noise,100,73,20,0,20,24.256469991867924,0.23136853010297034,0.05,0
white_noise,100,74,20,0,20,14.515539370462678,0.8034253428224308,0.05,0
white_noise,100,75,20,0,20,36.32621349975094,0.014077270580601858,0.05,1
white_noise,100,76,20,0,20,17.790156625545574,0.6012294341678066,0.05,0
white_noise,100,77,20,0,20,11.213977586477428,0.9404834851452211,0.05,0
white_noise,100,78,20,0,20,16.77783967607334,0.6673487562842325,0.05,0
white_noise,100,79,20,0,20,16.19301461692372,0.7045800337571155,0.05,0
white_noise,100,80,20,0,20,17.917161757746538,0.5928652733779114,0.05,0
white_noise,100,81,20,0,20,27.079241273659555,0.13304928649112496,0.05,0
white_noise,100,82,20,0,20,19.393489753876285,0.4963968111136762,0.05,0
white_noise,100,83,20,0,20,15.940262185261258,0.7203233133954496,0.05,0
white_noise,100,84,20,0,20,13.763571669019788,0.8422781838438081,0.05,0
white_noise,100,85,20,0,20,23.000537801108074,0.2887681331004043,0.05,0
white_noise,100,86,20,0,20,14.858791245840463,0.7844297643621944,0.05,0
white_noise,100,87,20,0,20,15.997671722861972,0.7167686909384148,0.05,0
white_noise,100,88,20,0,20,29.309164927874544,0.08184787799666003,0.05,0
white_noise,100,89,20,0,20,22.73054353789133,0.30221830938291844,0.05,0
white_noise,100,90,20,0,20,15.10671523599879,0.7702691086740451,0.05,0
white_noise,100,91,20,0,20,30.29293666858695,0.06524405327282384,0.05,0
white_noise,100,92,20,0,20,19.495159394084027,0.48988085086187827,0.05,0
white_noise,100,93,20,0,20,22.796186535513424,0.29891270277433524,0.05,0
white_noise,100,94,20,0,20,20.622986377972897,0.4196139905816587,0.05,0
white_noise,100,95,20,0,20,21.48359675355018,0.3691760066083093,0.05,0
white_noise,100,96,20,0,20,25.77338683960883,0.17342734096871748,0.05,0
white_noise,100,97,20,0,20,18.272122792334113,0.5694874859215544,0.05,0
white_noise,100,98,20,0,20,15.392305096743153,0.753537077414627,0.05,0
white_noise,100,99,20,0,20,14.46903652282726,0.8059412099573608,0.05,0
white_noise,100,100,20,0,20,27.969119918039347,0.1101323834610129,0.05,0
