experiment,process,rep,statistic
adf_direction,stationary_ar1,0,-8.365867026560041
adf_direction,random_walk,0,-1.9499131643050969
adf_direction,stationary_ar1,1,-7.846577623786551
adf_direction,random_walk,1,-2.3592059127535707
adf_direction,stationary_ar1,2,-8.231885246981477
adf_direction,random_walk,2,-0.21798038880175727
adf_direction,stationary_ar1,3,-8.158080923429432
adf_direction,random_walk,3,-1.624893312127514
adf_direction,stationary_ar1,4,-8.590584132567065
adf_direction,random_walk,4,-2.0167483965177158
adf_direction,stationary_ar1,5,-8.195464192546906
adf_direction,random_walk,5,-1.618978617516709
adf_direction,stationary_ar1,6,-8.074531008262644
adf_direction,random_walk,6,-1.272264263871798
adf_direction,stationary_ar1,7,-6.9390298083641
adf_direction,random_walk,7,-0.7101166188002475
adf_direction,stationary_ar1,8,-7.259589824435891
adf_direction,random_walk,8,-1.7991479622638193
adf_direction,stationary_ar1,9,-8.520826431297735
adf_direction,random_walk,9,-1.8600902090142035
adf_direction,stationary_ar1,10,-7.2471363858828415
adf_direction,random_walk,10,-2.5777980989888136
adf_direction,stationary_ar1,11,-8.258270490580996
adf_direction,random_walk,11,-1.1412706210931258
adf_direction,stationary_ar1,12,-7.797075172300397
adf_direction,random_walk,12,-2.18003127979061
adf_direction,stationary_ar1,13,-6.9572872446061735
adf_direction,random_walk,13,-2.2332294277270863
adf_direction,stationary_ar1,14,-7.401312887204253
adf_direction,random_walk,14,-2.1779450844406387
adf_direction,stationary_ar1,15,-8.511893533400109
adf_direction,random_walk,15,-1.1070730685017103
adf_direction,stationary_ar1,16,-7.554168801213429
adf_direction,random_walk,16,-2.1026861614994212
adf_direction,stationary_ar1,17,-7.452207496900759
adf_direction,random_walk,17,-0.3775167715598253
adf_direction,stationary_ar1,18,-7.742302790052943
adf_direction,random_walk,18,-2.3125869247845774
adf_direction,stationary_ar1,19,-7.334494501672277
adf_direction,random_walk,19,-2.1396630729808392
adf_direction,stationary_ar1,20,-8.827177544691345
adf_direction,random_walk,20,-2.035933260919873
adf_direction,stationary_ar1,21,-7.529854699002196
adf_direction,random_walk,21,-1.9017243072290635
adf_direction,stationary_ar1,22,-7.821391998156074
adf_direction,random_walk,22,0.5272762495670453
adf_direction,stationary_ar1,23,-7.974479609091084
adf_direction,random_walk,23,-1.4020867539849868
adf_direction,stationary_ar1,24,-9.164731517707677
adf_direction,random_walk,24,-0.5658386875436582
adf_direction,stationary_ar1,25,-7.044491573122394
adf_direction,random_walk,25,-1.5681092529511307
adf_direction,stationary_ar1,26,-9.400981886477268
adf_direction,random_walk,26,-2.5312031969707247
adf_direction,stationary_ar1,27,-7.465024507594726
adf_direction,random_walk,27,-1.366866441795384
adf_direction,stationary_ar1,28,-7.41714285799581
adf_direction,random_walk,28,-2.433563104507588
adf_direction,stationary_ar1,29,-7.275978331611164
adf_direction,random_walk,29,-1.5281450571652422
adf_direction,stationary_ar1,30,-8.729609921256575
adf_direction,random_walk,30,-1.511726506219064
adf_direction,stationary_ar1,31,-7.71685909539501
adf_direction,random_walk,31,-1.310518079128363
adf_direction,stationary_ar1,32,-7.17632678957006
adf_direction,random_walk,32,-1.5495839082354292
adf_direction,stationary_ar1,33,-7.300615000390816
adf_direction,random_walk,33,-1.9925603657631215
adf_direction,stationary_ar1,34,-7.419426527579468
adf_direction,random_walk,34,-1.1140195914545914
adf_direction,stationary_ar1,35,-8.932477674903232
adf_direction,random_walk,35,-1.9948658304163083
adf_direction,stationary_ar1,36,-7.5325408217077205
adf_direction,random_walk,36,-1.0545098498743852
adf_direction,stationary_ar1,37,-7.752843468659572
adf_direction,random_walk,37,-3.062668970331996
adf_direction,stationary_ar1,38,-8.272672066866214
adf_direction,random_walk,38,0.3050009665306298
adf_direction,stationary_ar1,39,-7.123030790344339
adf_direction,random_walk,39,-0.7340089850676493
adf_direction,stationary_ar1,40,-8.008581929775458
adf_direction,random_walk,40,-1.545539188858327
adf_direction,stationary_ar1,41,-7.430087985873988
adf_direction,random_walk,41,-0.7337752441138973
adf_direction,stationary_ar1,42,-7.757865888173848
adf_direction,random_walk,42,-2.341572291894706
adf_direction,stationary_ar1,43,-7.927876655455396
adf_direction,random_walk,43,-0.9763532872722623
adf_direction,stationary_ar1,44,-7.604858386025151
adf_direction,random_walk,44,-1.2689260746916917
adf_direction,stationary_ar1,45,-8.098983063788731
adf_direction,random_walk,45,-1.9178860675115663
adf_direction,stationary_ar1,46,-6.744735260841836
adf_direction,random_walk,46,-1.8785531622002178
adf_direction,stationary_ar1,47,-8.489413323758894
adf_direction,random_walk,47,-0.732123009490505
adf_direction,stationary_ar1,48,-7.822963585342021
adf_direction,random_walk,48,-2.6459692818289797
adf_direction,stationary_ar1,49,-8.108455650999117
adf_direction,random_walk,49,-2.0839849273936237
adf_direction,stationary_ar1,50,-8.628043684894708
adf_direction,random_walk,50,-0.01817041028725585
adf_direction,stationary_ar1,51,-6.567191833067294
adf_direction,random_walk,51,-1.0166165907252709
adf_direction,stationary_ar1,52,-8.541823647262582
adf_direction,random_walk,52,-2.37803931500844
adf_direction,stationary_ar1,53,-7.72574523996938
adf_direction,random_walk,53,-1.4761181483408856
adf_direction,stationary_ar1,54,-6.979452299997321
adf_direction,random_walk,54,-2.4262484761680825
adf_direction,stationary_ar1,55,-7.602838987307545
adf_direction,random_walk,55,-1.8574734208664057
adf_direction,stationary_ar1,56,-7.877746484978876
adf_direction,random_walk,56,-2.2606788627243484
adf_direction,stationary_ar1,57,-6.6628686253929725
adf_direction,random_walk,57,-0.98126587452859
adf_direction,stationary_ar1,58,-8.965258586366303
adf_direction,random_walk,58,-2.421825628054941
adf_direction,stationary_ar1,59,-7.4592203831136
adf_direction,random_walk,59,-2.7005986142316867
adf_direction,stationary_ar1,60,-8.856537946431747
adf_direction,random_walk,60,-1.9638664381128128
adf_direction,stationary_ar1,61,-6.633722399935542
adf_direction,random_walk,61,-1.4839743616252423
adf_direction,stationary_ar1,62,-9.250351242589954
adf_direction,random_walk,62,-2.430139570828792
adf_direction,stationary_ar1,63,-8.093190377794752
adf_direction,random_walk,63,-2.120705316411619
adf_direction,stationary_ar1,64,-8.755520869770217
adf_direction,random_walk,64,0.36675158027140486
