experiment,intercept_hat,intercept_true,noise_sd,order,outcome,phi_1_hat,phi_1_true,phi_2_hat,phi_2_true,rep,scenario
ar_recovery,0.4198669285945264,0.4,0.2,1,fit,0.23207656610388158,0.25,,,0,ar1_phi_0.25_noise_0.2
ar_recovery,0.3743122341135915,0.4,0.2,1,fit,0.27182691846234064,0.25,,,1,ar1_phi_0.25_noise_0.2
ar_recovery,0.3606478200002605,0.4,0.2,1,fit,0.334273078798289,0.25,,,2,ar1_phi_0.25_noise_0.2
ar_recovery,0.43668942628688423,0.4,0.2,1,fit,0.13948646572939818,0.25,,,3,ar1_phi_0.25_noise_0.2
ar_recovery,0.41240182604699005,0.4,0.2,1,fit,0.2243297125192262,0.25,,,4,ar1_phi_0.25_noise_0.2
ar_recovery,0.4179571591526978,0.4,0.2,1,fit,0.21993712775330151,0.25,,,5,ar1_phi_0.25_noise_0.2
ar_recovery,0.38078936786396467,0.4,0.2,1,fit,0.2515515084548429,0.25,,,6,ar1_phi_0.25_noise_0.2
ar_recovery,0.3759539377767571,0.4,0.2,1,fit,0.2988943710028682,0.25,,,7,ar1_phi_0.25_noise_0.2
ar_recovery,0.41722258618982827,0.4,0.2,1,fit,0.22123563854305706,0.25,,,8,ar1_phi_0.25_noise_0.2
ar_recovery,0.3871904867875534,0.4,0.2,1,fit,0.29568429913713073,0.25,,,9,ar1_phi_0.25_noise_0.2
ar_recovery,0.38344920165621876,0.4,0.2,1,fit,0.28834654360262346,0.25,,,10,ar1_phi_0.25_noise_0.2
ar_recovery,0.4320950626716318,0.4,0.2,1,fit,0.20976979189847356,0.25,,,11,ar1_phi_0.25_noise_0.2
ar_recovery,0.4227385574209165,0.4,0.2,1,fit,0.2417222452596185,0.25,,,12,ar1_phi_0.25_noise_0.2
ar_recovery,0.4438155632785501,0.4,0.2,1,fit,0.19355918308263018,0.25,,,13,ar1_phi_0.25_noise_0.2
ar_recovery,0.3885474690746056,0.4,0.2,1,fit,0.2544487985561097,0.25,,,14,ar1_phi_0.25_noise_0.2
ar_recovery,0.39019703892809243,0.4,0.2,1,fit,0.2707902479358829,0.25,,,15,ar1_phi_0.25_noise_0.2
ar_recovery,0.4438041148789098,0.4,0.2,1,fit,0.12875652179631705,0.25,,,16,ar1_phi_0.25_noise_0.2
ar_recovery,0.3450575808318743,0.4,0.2,1,fit,0.3180974111649589,0.25,,,17,ar1_phi_0.25_noise_0.2
ar_recovery,0.3978803777980668,0.4,0.2,1,fit,0.24791754261454274,0.25,,,18,ar1_phi_0.25_noise_0.2
ar_recovery,0.406375733630278,0.4,0.2,1,fit,0.24473983115376308,0.25,,,19,ar1_phi_0.25_noise_0.2
ar_recovery,0.4226170485547023,0.4,0.2,1,fit,0.19458165206549435,0.25,,,20,ar1_phi_0.25_noise_0.2
ar_recovery,0.35703060529867103,0.4,0.2,1,fit,0.30003834633074333,0.25,,,21,ar1_phi_0.25_noise_0.2
ar_recovery,0.38436835461028085,0.4,0.2,1,fit,0.25269532786234067,0.25,,,22,ar1_phi_0.25_noise_0.2
ar_recovery,0.41788104803122106,0.4,0.2,1,fit,0.28570638155956246,0.25,,,23,ar1_phi_0.25_noise_0.2
ar_recovery,0.3579888588519393,0.4,0.2,1,fit,0.30777785040313577,0.25,,,24,ar1_phi_0.25_noise_0.2
ar_recovery,0.4196314632174326,0.4,0.2,1,fit,0.20394127565708955,0.25,,,25,ar1_phi_0.25_noise_0.2
ar_recovery,0.4103161585645244,0.4,0.2,1,fit,0.22494113885141004,0.25,,,26,ar1_phi_0.25_noise_0.2
ar_recovery,0.3517529800952034,0.4,0.2,1,fit,0.35566037627182273,0.25,,,27,ar1_phi_0.25_noise_0.2
ar_recovery,0.3859411975493098,0.4,0.2,1,fit,0.23306788432943049,0.25,,,28,ar1_phi_0.25_noise_0.2
ar_recovery,0.440524966733452,0.4,0.2,1,fit,0.16760794923365885,0.25,,,29,ar1_phi_0.25_noise_0.2
ar_recovery,0.46624159300004686,0.4,0.2,1,fit,0.11296376640682537,0.25,,,30,ar1_phi_0.25_noise_0.2
ar_recovery,0.40379235645802614,0.4,0.2,1,fit,0.21503935559861273,0.25,,,31,ar1_phi_0.25_noise_0.2
ar_recovery,0.4473046963620714,0.4,0.2,1,fit,0.12641182136213813,0.25,,,32,ar1_phi_0.25_noise_0.2
ar_recovery,0.4333091936745237,0.4,0.2,1,fit,0.21081017355332993,0.25,,,33,ar1_phi_0.25_noise_0.2
ar_recovery,0.4071132892807977,0.4,0.2,1,fit,0.20896163043914803,0.25,,,34,ar1_phi_0.25_noise_0.2
ar_recovery,0.378505983263965,0.4,0.2,1,fit,0.2844016352529979,0.25,,,35,ar1_phi_0.25_noise_0.2
ar_recovery,0.41384817492225634,0.4,0.2,1,fit,0.1911932030683853,0.25,,,36,ar1_phi_0.25_noise_0.2
ar_recovery,0.40944444553757786,0.4,0.2,1,fit,0.2316224433322507,0.25,,,37,ar1_phi_0.25_noise_0.2
ar_recovery,0.38048958091827545,0.4,0.2,1,fit,0.2698968298706169,0.25,,,38,ar1_phi_0.25_noise_0.2
ar_recovery,0.43426078867281664,0.4,0.2,1,fit,0.22285531491159463,0.25,,,39,ar1_phi_0.25_noise_0.2
ar_recovery,0.4246351463864996,0.4,0.2,1,fit,0.17321058437766207,0.25,,,40,ar1_phi_0.25_noise_0.2
ar_recovery,0.4129331804247366,0.4,0.2,1,fit,0.21284233164611904,0.25,,,41,ar1_phi_0.25_noise_0.2
ar_recovery,0.36057471567233956,0.4,0.2,1,fit,0.32939472398940034,0.25,,,42,ar1_phi_0.25_noise_0.2
ar_recovery,0.4248112390079237,0.4,0.2,1,fit,0.18591056625997596,0.25,,,43,ar1_phi_0.25_noise_0.2
ar_recovery,0.42463020595495327,0.4,0.2,1,fit,0.21491634185544334,0.25,,,44,ar1_phi_0.25_noise_0.2
ar_recovery,0.3935567392288686,0.4,0.2,1,fit,0.2654835729770026,0.25,,,45,ar1_phi_0.25_noise_0.2
ar_recovery,0.36946706277249775,0.4,0.2,1,fit,0.2819547595761862,0.25,,,46,ar1_phi_0.25_noise_0.2
ar_recovery,0.3885892679449068,0.4,0.2,1,fit,0.24567433328096855,0.25,,,47,ar1_phi_0.25_noise_0.2
ar_recovery,0.40753405018165323,0.4,0.2,1,fit,0.22927768630683482,0.25,,,48,ar1_phi_0.25_noise_0.2
ar_recovery,0.3685340366986717,0.4,0.2,1,fit,0.3257993027095878,0.25,,,49,ar1_phi_0.25_noise_0.2
ar_recovery,0.4089213067402703,0.4,0.2,1,fit,0.2540009226597705,0.25,,,50,ar1_phi_0.25_noise_0.2
ar_recovery,0.3821549972354567,0.4,0.2,1,fit,0.27786577506183013,0.25,,,51,ar1_phi_0.25_noise_0.2
ar_recovery,0.4294089897047959,0.4,0.2,1,fit,0.2158932355386129,0.25,,,52,ar1_phi_0.25_noise_0.2
ar_recovery,0.3423509309845316,0.4,0.2,1,fit,0.3400869583035521,0.25,,,53,ar1_phi_0.25_noise_0.2
ar_recovery,0.44086983856194084,0.4,0.2,1,fit,0.17388641672031924,0.25,,,54,ar1_phi_0.25_noise_0.2
ar_recovery,0.36796662477946424,0.4,0.2,1,fit,0.261023752561879,0.25,,,55,ar1_phi_0.25_noise_0.2
ar_recovery,0.40883704931362463,0.4,0.2,1,fit,0.21084864023468064,0.25,,,56,ar1_phi_0.25_noise_0.2
ar_recovery,0.4384598199419148,0.4,0.2,1,fit,0.1689241630166709,0.25,,,57,ar1_phi_0.25_noise_0.2
ar_recovery,0.355241842026509,0.4,0.2,1,fit,0.33285268532441364,0.25,,,58,ar1_phi_0.25_noise_0.2
ar_recovery,0.4006298690012989,0.4,0.2,1,fit,0.26445746238036494,0.25,,,59,ar1_phi_0.25_noise_0.2
ar_recovery,0.369711037076939,0.4,0.2,1,fit,0.3400069808180002,0.25,,,60,ar1_phi_0.25_noise_0.2
ar_recovery,0.43300330720419367,0.4,0.2,1,fit,0.18802334721707664,0.25,,,61,ar1_phi_0.25_noise_0.2
ar_recovery,0.34676701195940435,0.4,0.2,1,fit,0.3373123686705601,0.25,,,62,ar1_phi_0.25_noise_0.2
ar_recovery,0.45386227430981246,0.4,0.2,1,fit,0.16835217457857526,0.25,,,63,ar1_phi_0.25_noise_0.2
ar_recovery,0.3973846791844403,0.4,0.2,1,fit,0.2559793839830951,0.25,,,64,ar1_phi_0.25_noise_0.2
ar_recovery,0.3719468358935313,0.4,0.2,1,fit,0.28468051513169257,0.25,,,65,ar1_phi_0.25_noise_0.2
ar_recovery,0.3742617372352419,0.4,0.2,1,fit,0.2865654937311022,0.25,,,66,ar1_phi_0.25_noise_0.2
ar_recovery,0.4106953505821514,0.4,0.2,1,fit,0.23038807174957604,0.25,,,67,ar1_phi_0.25_noise_0.2
ar_recovery,0.4782527658788774,0.4,0.2,1,fit,0.12889804430777127,0.25,,,68,ar1_phi_0.25_noise_0.2
ar_recovery,0.38544653190341305,0.4,0.2,1,fit,0.26849990938951274,0.25,,,69,ar1_phi_0.25_noise_0.2
ar_recovery,0.454124673939612,0.4,0.2,1,fit,0.11047002205221747,0.25,,,70,ar1_phi_0.25_noise_0.2
ar_recovery,0.43086476530586104,0.4,0.2,1,fit,0.19860739419010212,0.25,,,71,ar1_phi_0.25_noise_0.2
ar_recovery,0.3730322349991397,0.4,0.2,1,fit,0.28792788364563626,0.25,,,72,ar1_phi_0.25_noise_0.2
ar_recovery,0.4307540077359871,0.4,0.2,1,fit,0.18208386001792315,0.25,,,73,ar1_phi_0.25_noise_0.2
ar_recovery,0.3497538738114171,0.4,0.2,1,fit,0.2982204104724004,0.25,,,74,ar1_phi_0.25_noise_0.2
ar_recovery,0.4704483137134798,0.4,0.2,1,fit,0.11085925983107114,0.25,,,75,ar1_phi_0.25_noise_0.2
ar_recovery,0.4599067888349873,0.4,0.2,1,fit,0.1429502645312805,0.25,,,76,ar1_phi_0.25_noise_0.2
ar_recovery,0.37960819968789694,0.4,0.2,1,fit,0.287415884441172,0.25,,,77,ar1_phi_0.25_noise_0.2
ar_recovery,0.3951244709458738,0.4,0.2,1,fit,0.2420948554911477,0.25,,,78,ar1_phi_0.25_noise_0.2
ar_recovery,0.34491255426583955,0.4,0.2,1,fit,0.36405477438007317,0.25,,,79,ar1_phi_0.25_noise_0.2
ar_recovery,0.33263825138442943,0.4,0.2,1,fit,0.35373554304570576,0.25,,,80,ar1_phi_0.25_noise_0.2
ar_recovery,0.3368149785590815,0.4,0.2,1,fit,0.3320341397480863,0.25,,,81,ar1_phi_0.25_noise_0.2
ar_recovery,0.37953720933708157,0.4,0.2,1,fit,0.2890288130000186,0.25,,,82,ar1_phi_0.25_noise_0.2
ar_recovery,0.3864118770355437,0.4,0.2,1,fit,0.2992136179765948,0.25,,,83,ar1_phi_0.25_noise_0.2
ar_recovery,0.4313591922904282,0.4,0.2,1,fit,0.20162288074162416,0.25,,,84,ar1_phi_0.25_noise_0.2
ar_recovery,0.44397181712090006,0.4,0.2,1,fit,0.17788161792537954,0.25,,,85,ar1_phi_0.25_noise_0.2
ar_recovery,0.3924325696263934,0.4,0.2,1,fit,0.2610780699148817,0.25,,,86,ar1_phi_0.25_noise_0.2
ar_recovery,0.43226425739252583,0.4,0.2,1,fit,0.15971187824424896,0.25,,,87,ar1_phi_0.25_noise_0.2
ar_recovery,0.3705545831906637,0.4,0.2,1,fit,0.29496291156172794,0.25,,,88,ar1_phi_0.25_noise_0.2
ar_recovery,0.4025001526089895,0.4,0.2,1,fit,0.2325437349145132,0.25,,,89,ar1_phi_0.25_noise_0.2
ar_recovery,0.4580351199377024,0.4,0.2,1,fit,0.14961503686558605,0.25,,,90,ar1_phi_0.25_noise_0.2
ar_recovery,0.43438466031183554,0.4,0.2,1,fit,0.24631289036482354,0.25,,,91,ar1_phi_0.25_noise_0.2
ar_recovery,0.4084874965444456,0.4,0.2,1,fit,0.23622411549448422,0.25,,,92,ar1_phi_0.25_noise_0.2
ar_recovery,0.39377896624893993,0.4,0.2,1,fit,0.27632861911135714,0.25,,,93,ar1_phi_0.25_noise_0.2
