absolute_error,estimated_split,experiment,rep,score,sse,true_split
0,193,mean_shift,0,0.7031029383956807,108.84150483575736,193
0,140,mean_shift,1,0.7765175205654857,101.55322134983629,140
0,180,mean_shift,2,0.6591110399619202,124.59655546531549,180
1,61,mean_shift,3,0.7012871974107058,118.59638472209379,60
0,177,mean_shift,4,0.7284597306316382,109.30729362227979,177
0,100,mean_shift,5,0.7980364553185335,99.63777861468283,100
0,108,mean_shift,6,0.7369256709004145,135.43501827243438,108
0,95,mean_shift,7,0.7801345367587631,103.21382461682323,95
0,150,mean_shift,8,0.7400398326854633,118.73264508312575,150
0,169,mean_shift,9,0.7372955089135433,107.63141218058493,169
0,186,mean_shift,10,0.6419434394169263,123.71774641676832,186
0,112,mean_shift,11,0.7650827858077652,110.30897168110232,112
0,151,mean_shift,12,0.7373355576194094,120.59731534754515,151
0,64,mean_shift,13,0.7478313675631677,104.31337335867487,64
0,101,mean_shift,14,0.7238313990396072,122.29949548117108,101
1,98,mean_shift,15,0.7388377209470629,127.2043999694871,97
0,86,mean_shift,16,0.7809653703253425,94.60343806928711,86
0,54,mean_shift,17,0.680133203916771,126.7779386088693,54
0,111,mean_shift,18,0.7687072126677674,110.7420833141621,111
0,191,mean_shift,19,0.6092539169522838,139.25436966241062,191
0,87,mean_shift,20,0.7182163352733901,133.53619859341734,87
0,140,mean_shift,21,0.7825449153422988,105.74957470258899,140
0,138,mean_shift,22,0.7350973339831769,126.14829581845675,138
0,157,mean_shift,23,0.7638983808719573,116.00751778003408,157
0,214,mean_shift,24,0.5466727747812429,125.78633564414754,214
0,202,mean_shift,25,0.6554969351695651,116.43640207270255,202
0,208,mean_shift,26,0.6027039944288782,114.47814668278333,208
0,25,mean_shift,27,0.6007789601567095,122.62104699357462,25
0,71,mean_shift,28,0.718189744090315,123.8500258175735,71
0,152,mean_shift,29,0.7529111325411999,117.95163630745628,152
0,90,mean_shift,30,0.7295048215578104,116.74964790974005,90
0,36,mean_shift,31,0.6491435612955441,117.9275980764444,36
0,21,mean_shift,32,0.4867528124346831,117.33970446277145,21
0,180,mean_shift,33,0.6710258576076559,120.59053349924176,180
0,149,mean_shift,34,0.7501703668062553,118.27993640540437,149
0,68,mean_shift,35,0.7032418961400809,126.88325602581718,68
0,64,mean_shift,36,0.757199478926076,95.0633069895205,64
0,137,mean_shift,37,0.7501615343089885,118.78158563501431,137
1,104,mean_shift,38,0.7726679239454097,117.06145518596007,103
0,192,mean_shift,39,0.6378332551640271,123.98073728791763,192
0,62,mean_shift,40,0.7343111760154412,109.55270445714336,62
0,57,mean_shift,41,0.682802550600703,135.70793265976886,57
0,216,mean_shift,42,0.5327091395587449,124.053404781481,216
0,103,mean_shift,43,0.7347248215926608,127.39972780511427,103
0,55,mean_shift,44,0.6611321092558812,120.96749659938037,55
0,106,mean_shift,45,0.7595922507915506,116.06855833195443,106
0,162,mean_shift,46,0.7274933725189546,118.30443004219926,162
0,71,mean_shift,47,0.7431145717960675,132.24383542301473,71
0,112,mean_shift,48,0.7336781293177969,127.64123208605122,112
0,109,mean_shift,49,0.7454141188769767,127.2646356288068,109
0,217,mean_shift,50,0.5882557310771356,104.20318093504562,217
0,116,mean_shift,51,0.761250249388236,109.48042904809577,116
0,177,mean_shift,52,0.7317993644471245,114.59765188003388,177
0,47,mean_shift,53,0.6405759777113358,124.44695628529851,47
0,75,mean_shift,54,0.7461211436839338,117.47173172553511,75
1,206,mean_shift,55,0.6083300780828725,129.2261222173283,207
2,220,mean_shift,56,0.45970429812746705,120.87796566308577,218
0,50,mean_shift,57,0.6709750705568379,106.72719908645975,50
0,216,mean_shift,58,0.5280649472457208,125.9979156013986,216
2,177,mean_shift,59,0.6814698915431894,121.26786286932399,175
0,127,mean_shift,60,0.759107461590896,120.28455960294909,127
0,104,mean_shift,61,0.7525995421501513,119.29868307521618,104
0,63,mean_shift,62,0.7391345714496229,108.62648283373422,63
0,93,mean_shift,63,0.7820677591012001,98.86233428505615,93
1,161,mean_shift,64,0.7341829436291307,118.18785330077147,160
0,187,mean_shift,65,0.7124685962054592,103.5922884207387,187
1,138,mean_shift,66,0.7638302929323467,117.80861770010652,139
0,140,mean_shift,67,0.7704322569977831,110.38968151700027,140
0,184,mean_shift,68,0.6655517690509286,118.97980481903384,184
0,182,mean_shift,69,0.702217571742734,118.07818463031181,182
0,115,mean_shift,70,0.7702258386685277,113.00983581477156,115
0,71,mean_shift,71,0.7514782870914742,110.64974131612603,71
0,123,mean_shift,72,0.7599430934551888,117.20443086334545,123
0,111,mean_shift,73,0.7818592110481891,113.60848479599593,111
0,162,mean_shift,74,0.7780064474024126,107.29607205140611,162
0,29,mean_shift,75,0.6179972924918675,99.81025272856417,29
0,127,mean_shift,76,0.7486632315823087,115.29125234870449,127
0,215,mean_shift,77,0.5591610458756635,113.48612896514972,215
0,77,mean_shift,78,0.7624162017136855,101.9069594827105,77
0,193,mean_shift,79,0.7321342219969617,99.95947111649235,193
0,46,mean_shift,80,0.7118274067224145,102.16697663484985,46
0,82,mean_shift,81,0.7478409154813359,112.57878671116704,82
0,69,mean_shift,82,0.712892834011466,124.73122839253134,69
0,125,mean_shift,83,0.7901543878965274,103.65913446499005,125
0,50,mean_shift,84,0.635467201667157,125.09853063198614,50
0,142,mean_shift,85,0.7453420110027992,120.29771831548805,142
0,30,mean_shift,86,0.5913522109125215,107.58826666930814,30
0,128,mean_shift,87,0.7358830610462369,130.00527541493332,128
0,187,mean_shift,88,0.6737635510095273,113.23337972099354,187
1,79,mean_shift,89,0.7785669417704947,109.80425678076215,80
0,25,mean_shift,90,0.5078823245758866,129.55437297381397,25
0,196,mean_shift,91,0.6533733296404023,122.05470115010131,196
0,20,mean_shift,92,0.4970606072454404,90.89183782113156,20
0,172,mean_shift,93,0.7121259984853062,124.71084329754662,172
0,41,mean_shift,94,0.6682692595149708,118.29477521854254,41
0,53,mean_shift,95,0.6929393633143626,111.25804329772537,53
0,23,mean_shift,96,0.5108400992770463,108.24557345547751,23
0,40,mean_shift,97,0.638115063761704,112.63829716564628,40
0,156,mean_shift,98,0.7538990358147307,120.9028976300664,156
0,78,mean_shift,99,0.7491050527284837,113.42067921828809,78
0,148,mean_shift,100,0.7401691558828549,113.19240181692318,148
0,123,mean_shift,101,0.7834190826990413,102.90207570452317,123
0,40,mean_shift,102,0.6477177380504349,110.32920338500047,40
0,89,mean_shift,103,0.7288439617462995,110.64540007619196,89
1,154,mean_shift,104,0.7403082206584083,129.19890905260507,155
0,75,mean_shift,105,0.7829379919458552,95.35683606652692,75
0,207,mean_shift,106,0.612635088871938,104.84727142602642,207
0,32,mean_shift,107,0.5523802707663993,127.20615257567174,32
0,220,mean_shift,108,0.48040065847946356,125.34182125418978,220
0,170,mean_shift,109,0.7107328470769341,111.79882293654707,170
0,56,mean_shift,110,0.6651527722104903,121.48806491888058,56
0,215,mean_shift,111,0.5350178408736316,117.54338941489893,215
0,85,mean_shift,112,0.7447376912072027,110.17404183344132,85
1,165,mean_shift,113,0.752730731192255,105.85907200177968,166
